languageFrom,languageTo,changeDate
"to be doing something","robić coś",20200101
"to be familiar with","być zaznajomionym z",20200101
"to be famous for","być sławnym",20200101
"to be in trouble","mieć kłopoty",20200101
"to be right","mieć rację",20200101
"to be sick","być chorym",20200101
"to be wrong","mylić się",20200101
"to depend on","polegać na",20200101
"to do something","zrobić coś",20200101
"to get hungry","być głodnym",20200101
"to get hurt","zranić się",20200101
"to get somewhere","dostać się gdzieś",20200101
"to issue","do wydania",20200101
"to lose consciousness","stracić przytomność",20200101
"to make sound","wydawać dźwięk",20200101
"to mean something","żeby coś znaczyć",20200101
"to pay for","płacić za",20200101
today,dzisiaj,20200101
tomorrow,jutro,20200101
tongue,język,20200101
too,także,20200101
took,wzięła,20200101
tool,narzędzie,20200101
tooth,ząb,20200101
top,Top,20200101
towel,ręcznik,20200101
tower,wieża,20200101
toy,zabawka,20200101
transport,transport,20200101
travel,podróżować,20200101
trigger,cyngiel,20200101
tripple,potrójny,20200101
trouble,kłopot,20200101
trousers,spodnie,20200101
true,prawdziwe,20200101
try,próbować,20200101
tuck,podwinąć,20200101
tuesday,wtorek,20200101
turn,skręcać,20200101
"turn down",Wyłącz,20200101
"turn into","zmienić się w",20200101
"turn off",wyłączyć,20200101
"turn on",włączyć,20200101
"turn up","zjawiać się",20200101
tv,telewizja,20200101
twice,"dwa razy",20200101
type,rodzaj,20200101
ugly,brzydki,20200101
uncle,wujek,20200101
under,pod,20200101
uneven,nierówny,20200101
uniform,mundur,20200101
unit,jednostka,20200101
universe,wszechświat,20200101
unless,"chyba że",20200101
unlikely,"mało prawdopodobne",20200101
up,"w górę",20200101
urgent,pilne,20200101
use,"posługiwać się",20200101
used,używany,20200101
useful,przydatny,20200101
useless,bezużyteczny,20200101
usually,zazwyczaj,20200101
valuable,cenny,20200101
value,wartość,20200101
variety,różnorodność,20200101
various,różnorodny,20200101
vehicle,pojazd,20200101
vertical,pionowy,20200101
very,bardzo,20200101
"very much",bardzo,20200101
village,wioska,20200101
visit,wizyta,20200101
volume,Tom,20200101
wait,czekać,20200101
"wake up","Obudź się",20200101
"walk the dog","wyprowadzać psa",20200101
wall,Ściana,20200101
wallet,portfel,20200101
wand,różdżka,20200101
want,chcieć,20200101
warm,ciepło,20200101
warning,ostrzeżenie,20200101
"wash face","myć twarz",20200101
"wash hands","myć ręce",20200101
washer,pralka,20200101
wasp,osa,20200101
waste,marnotrawstwo,20200101
watch,zegarek,20200101
wax,wosk,20200101
way,droga,20200101
"we are ",jesteśmy,20200101
weak,słaby,20200101
weapon,broń,20200101
wear,nosić,20200101
"wear off",mijać,20200101
web,sieć,20200101
wednesday,środa,20200101
week,tydzień,20200101
weight,waga,20200101
went,poszedł,20200101
west,Zachód,20200101
wet,mokry,20200101
what,co,20200101
"what are you doing?","co robisz?",20200101
"what do you mean","co masz na myśli",20200101
"what do you want to know","co chcesz wiedzieć",20200101
"what do you want?","co chcesz?",20200101
"what does it mean","co to znaczy",20200101
"what is it?","co to jest?",20200101
"what is your favourite _?","jaki jest Twój ulubiony _?",20200101
"what is your phone number?","jaki jest Twój numer telefonu?",20200101
"what kind of","jakiego rodzaju",20200101
"what time is it?","która godzina?",20200101
"what would you like?","co byś chciał?",20200101
wheel,koło,20200101
when,gdy,20200101
where,gdzie,20200101
"where are you from?","Skąd jesteś?",20200101
"where do you live?","gdzie mieszkasz?",20200101
"where is it?","gdzie to jest?",20200101
whirl,wir,20200101
whirlwind,"trąba powietrzna",20200101
whisper,szept,20200101
white,biały,20200101
who,WHO,20200101
why,dlaczego,20200101
wide,szeroki,20200101
wife,żona,20200101
win,zdobyć,20200101
wind,wiatr,20200101
"wind turbine","turbina wiatrowa",20200101
window,okno,20200101
wings,skrzydełka,20200101
wire,drut,20200101
wise,mądry,20200101
with,z,20200101
within,"w ciągu",20200101
without,bez,20200101
wolf,Wilk,20200101
woman,kobieta,20200101
won,wygrała,20200101
won't,przyzwyczajenie,20200101
wonder,cud,20200101
wood,drewno,20200101
word,słowo,20200101
work,praca,20200101
world,świat,20200101
worm,robak,20200101
worse,gorzej,20200101
"would like",chciałby,20200101
wound,rana,20200101
write,pisać,20200101
year,rok,20200101
yesterday,wczoraj,20200101
"you are","ty jesteś",20200101
"you are right","masz rację",20200101
"you are wrong","mylisz się",20200101
your,Twój,20200101
yourself,siebie,20200101
"zoom in",zbliżenie,20200101
"zoom out",pomniejsz,20200101
